Designator,Mid X,Mid Y,Rotation,Layer
D1,3.73,22.9,270.0,top
D2,14.3625,8.0,0.0,top
H1,60.4,26.66,0.0,top
J1,36.815,2.515,90.0,top
J2,30.196,50.775,90.0,top
J3,57.125,2.515,90.0,top
J4,54.595,50.775,90.0,top
J5,4.75,7.0,0.0,top
J6,20.9,5.75,180.0,top
J7,65.35,14.55,270.0,top
J8,3.295,38.21,270.0,top
R1,7.905,24.5,180.0,top
R10,11.725,42.5,0.0,top
R2,7.905,22.85,180.0,top
R3,7.905,21.2,180.0,top
R4,10.7,27.95,90.0,top
R5,14.4,10.1,180.0,top
R6,65.3,20.575,90.0,top
R7,63.5,20.575,90.0,top
R8,10.7,17.8,270.0,top
R9,11.725,40.8,0.0,top
SW1,5.8,16.55,0.0,top
SW2,5.8,29.25,180.0,top
SW3,6.9,48.45,180.0,top
U1,18.4,26.7,270.0,top
U2,26.33279,36.83,270.0,bottom
